["教育程度", "type"]	["哪种类型是entity的毕业学校？"]
["locationCity", "governmentType"]	["entity的所在地政府类型是什么？"]
["cup", "referee"]	["谁是entity获得的奖项的裁判？"]
["placeOfBirth", "ethnicGroups"]	["entity的出生地属于哪个民族？"]
["ground", "sovereigntyType"]	["什么是entity的地址的主权类型？"]
["state", "leaderTitle"]	["entity所在的州在哪里作为leaderTitle？"]
["母校", "affiliations"]	["entity的母校隶属于什么机构？"]
["播放地區", "ethnicGroups"]	["entity属于哪个民族？"]
["ground", "tenants"]	["哪个俱乐部entity的地址租给哪个？","哪个俱乐部做租客entity的地址？"]
["state", "highestpoint"]	["entity所在的州的最高点是什么？"]
["state", "mammal"]	["entity所在的州中濒临灭绝的哺乳动物是什么？"]
["platforms", "developer"]	["谁开发entity的发布平台？","谁是entity的发布平台的开发者？"]
["after", "spouse"]	["谁是entity的的配偶？"]
["title", "label"]	["entity的标题的标签是什么？"]
["origin", "legislature"]	["什么是entity的发源地的立法机关？"]
["stadium", "subdivisionType"]	["举办entity的体育场的行政级别是什么？"]
["stadium", "subdivisionName"]	["举办entity的体育场的细分名称是什么？"]
["locationCountry", "leaderTitle"]	["entity所在的国家在哪里作为leaderTitle？"]
["origin", "leaderTitle"]	["entity的发源地在哪里作为leaderTitle？"]
["ground", "areaCodeType"]	["entity的地址有哪些类型的区号？"]
["ground", "subdivisionType"]	["entity的地址的行政级别是什么？"]
["primeminister", "president"]	["谁是entity的首相的总裁？"]
["binomialAuthority", "nationality"]	["entity的二项式命名法学名的的国籍是什么？"]
["afterElection", "almaMater"]	["entity的胜选者从哪里毕业？"]
["director", "title"]	["什么是entity的导演的名字？"]
["capital", "leaderTitle"]	["entity的首都在哪里作为leaderTitle？"]
["placeOfBirth", "callingCode"]	["什么是entity的出生地中的调用代码？"]
["birthPlace", "demonym"]	["我们称之为entity的出生地的人是谁？"]
["birthPlace", "lieutenantGovernor"]	["谁是entity的出生地现任副州长？"]
["party", "affiliation"]	["谁隶属于entity所属的党派？"]
["arrondissement", "subdivisionType"]	["entity的行政级别是什么？"]
["播放地區", "officialLanguages"]	["entity的官方语言是什么？"]
["primeminister", "almaMater"]	["entity的首相从哪里毕业？"]
["producer", "children"]	["entity的制片人孩子的名字是什么？"]
["使用平臺", "updatemodel"]	["entity的发布平台更新模型的名称是什么？"]
["builder", "issue"]	["谁是entity的建造商的父母？"]
["popplace", "governingBody"]	["entity的主要分布区域的管理机构是什么？"]
["region", "leaderName"]	["谁是entity所在的行政区的领导者？"]
["arrondissement", "subdivisionName"]	["entity的细分名称是什么？"]
["locale", "governor"]	["谁是entityEV的所属地点的现任州长？"]
["身份", "religion"]	["entity所在的朝代的宗教是什么？"]
["managerclubs", "chairman"]	["谁是entity执教的俱乐部的主席？"]
["parent", "industry"]	["entity的主公司所属的产业类型是什么？"]
["電視網", "cableServ"]	["哪个公司播放entity的电视台属于？"]
["subdivisionName", "timezoneDst"]	["entity属于哪个时区？"]
["placeOfBirth", "establishedEvent"]	["什么时候entity的出生地创建既定事件？"]
["birthPlace", "leaderTitle"]	["entity的出生地在哪里作为leaderTitle？"]
["父親", "children"]	["entity的父亲孩子的名字是什么？"]
["parent", "logo"]	["entity的主公司的标识是什么？"]
["referee", "title"]	["什么是entity的裁判员的名字？"]
["states", "currency"]	["使用entity的地区的货币是什么？"]
["subdivisionName", "lowerhouse"]	["我们用什么名字打电话给entity的下院？"]
["binomialAuthority", "knownFor"]	["什么是entity的二项式命名法学名的知道的？"]
["music", "relatives"]	["谁是entity的配乐作者的亲戚？"]
["incumbent", "birthPlace"]	["entity的现任出生在哪里？"]
["label", "owner"]	["谁是entity的标签的所有者？"]
["lyrics", "before"]	["谁是entity的的上一任？"]
["birthPlace", "timezone1Dst"]	["entity的出生地属于哪个时区？"]
["birthPlace", "religion"]	["entity的出生地的宗教是什么？"]
["播放地區", "leaderName"]	["谁是entity的领导者？"]
["venue", "owner"]	["谁是entity的举办场地的所有者？"]
["播放地區", "sovereigntyType"]	["什么是entity的主权类型？"]
["播放地區", "legislature"]	["什么是entity的立法机关？"]
["family", "child"]	["什么属于entity所属的家族？"]
["leaderParty", "successor"]	["谁是entity的的继承人？"]
["constell", "neareststarname"]	["从entity所属于的星座到地球的最近的恒星是什么？"]
["出生地點", "regionalLanguages"]	["哪种语言是entity的出生地点中的区域语言？"]
["location", "lieutenantGovernor"]	["谁是entity的位置现任副州长？"]
["location", "soil"]	["entity的位置的州土壤是什么？"]
["出生地", "establishedEvent"]	["什么时候entity的出生地创建既定事件？"]
["父親", "before"]	["谁是entity的父亲的上一任？"]
["citizenship", "callingCode"]	["什么是entity的公民身份中的调用代码？"]
["countryAdminDivisions", "translitLang1Type"]	["什么是entity的翻译方案？"]
["birthPlace", "legislature"]	["什么是entity的出生地的立法机关？"]
["studio", "founder"]	["谁是制作entity的工作室的创始人？","谁创立了制作entity的工作室？"]
["territory", "subdivisionName"]	["entity覆盖的区域的细分名称是什么？"]
["commander", "office"]	["entity的将领的职务是什么？"]
["製作", "founder"]	["谁是entity的制作方的创始人？","谁创立了entity的制作方？"]
["channel", "cableServ"]	["哪个公司entity的电视台属于？"]
["manufacturer", "subsid"]	["entity的生产商子公司的名称是什么？"]
["designer", "children"]	["entity的设计者孩子的名字是什么？"]
["placeOfBirth", "officialReligion"]	["哪一项是entity的出生地第一修正案的宗教条款中规定的受宪法保护的权利？"]
["successor", "legislature"]	["什么是entity的一CLPM代产品的立法机关？"]
["founder", "birthPlace"]	["entity的创始人出生在哪里？"]
["president", "office"]	["entity效力的总统的职务是什么？"]
["primeminister", "successor"]	["谁是entity的首相的继承人？"]
["primeminister", "birthPlace"]	["entity的首相出生在哪里？"]
["primeminister", "before"]	["谁是entity的首相的上一任？"]
["地址", "postalCodeType"]	["entity的地址使用什么类型的邮政编码？"]
["starring", "influenced"]	["谁影响了参演entity的演员？"]
["office", "president"]	["谁是entity担任的要职的总裁？"]
["office", "ideology"]	["什么是entity担任的要职的政治意识形态？"]
["predecessor", "honorificSuffix"]	["entity的前代产品的敬语后缀是什么？"]
["birthPlace", "areaCodeType"]	["entity的出生地有哪些类型的区号？"]
["primeminister", "spouse"]	["谁是entity的首相的配偶？"]
["primeminister", "chancellor"]	["谁是entity的首相的总理？"]
["stadium", "southwest"]	["位于举办entity的体育场西南的是什么？"]
["platforms", "connectivity"]	["entity的发布平台的连接性是什么？"]
["products", "developer"]	["谁开发entity的产品？","谁是entity的产品的开发者？"]
["country", "legislature"]	["什么是entity的的立法机关？"]
["動畫製作", "industry"]	["entity的动画所属的产业类型是什么？"]
["workInstitutions", "almaMater"]	["entity的工作机构从哪里毕业？"]
["location", "subdivisionName"]	["entity的位置的细分名称是什么？"]
["location", "leaderParty"]	["什么是entity的位置的领导方？"]
["birthPlace", "northeast"]	["位于entity的出生地东北的地方是什么？"]
["region", "establishedEvent"]	["什么时候entity所在的行政区创建既定事件？"]
["author", "doctoralStudents"]	["谁是entity的原著作者的博士生？"]
["territory", "upperhouse"]	["我们用什么名字来称呼entity覆盖的区域的上院？"]
["country", "sovereigntyType"]	["什么是entity的的主权类型？"]
["combatant", "currency"]	["entity的货币是什么？"]
["主持", "label"]	["entity的主持人的标签是什么？"]
["location", "postalCodeType"]	["entity的位置使用什么类型的邮政编码？"]
["residence", "postalCode"]	["什么是entity的居住地的邮政编码？"]
["primeminister", "honorificPrefix"]	["entity的首相的荣誉称号是什么？"]
["ground", "ethnicGroups"]	["entity的地址属于哪个民族？"]
["cities", "leaderName"]	["谁是entity的领导者？"]
["basinCountries", "demonym"]	["我们称之为entity的沿线国家的人是谁？"]
["location", "postalCode"]	["什么是entity的位置的邮政编码？"]
["location", "southwest"]	["位于entity的位置西南的是什么？"]
["countryofbirth", "legislature"]	["什么是entity的祖国的立法机关？"]
["state", "governor"]	["谁是entity所在的州的现任州长？"]
["manufacturer", "title"]	["什么是entity的生产商的名字？"]
["subdivisionName", "location"]	["entity在哪里？"]
["before", "subdivisionType"]	["entity的前任的行政级别是什么？"]
["artist", "title"]	["什么是发布entity的艺人的名字？"]
["stadium", "governingBody"]	["举办entity的体育场的管理机构是什么？"]
["headquarters", "southwest"]	["位于entity的总部地址西南的是什么？"]
["notableCommanders", "deathPlace"]	["entity的著名指挥官死在哪里？","entity的著名指挥官的死亡地点是什么？"]
["主唱", "label"]	["entity的主唱的标签是什么？"]
["builder", "type"]	["哪种类型是entity的建造商？"]
["commonLanguages", "sign"]	["entity的通用语言使用什么样的语言？"]
["語言", "ancestor"]	["entity使用的语言的祖先在哪里？"]
["artist", "ancestry"]	["发布entity的艺人的家人来自哪里？","发布entity的艺人的故乡是什么？"]
["office", "leader"]	["谁是entity担任的要职的领导者？"]
["locale", "timezoneDst"]	["entityEV的所属地点属于哪个时区？"]
["locale", "establishedTitle"]	["哪个法律","行为使entityEV的所属地点成立？"]
["locale", "areaCodeType"]	["entityEV的所属地点有哪些类型的区号？"]
["owner", "leaderTitle"]	["entity的总裁在哪里作为leaderTitle？"]
["successor", "type"]	["哪种类型是entity的一CLPM代产品？"]
["placeOfBirth", "event"]	["哪个文件","事件影响了entity的出生地的灭绝并在欧洲结束了第二次世界大战？"]
["placeOfDeath", "callingCode"]	["什么是entity的逝世地址中的调用代码？"]
["president", "almaMater"]	["entity效力的总统从哪里毕业？"]
["distributor", "owner"]	["谁是entity的发行商的所有者？"]
["producer", "education"]	["entity的制片人毕业的地方？","entity的制片人从哪个学校毕业？"]
["start", "subdivisionType"]	["entity的起点站的行政级别是什么？"]
["placeOfBirth", "leader"]	["谁是entity的出生地的领导者？"]
["developer", "services"]	["什么包含在entity的开发商的服务中？"]
["territory", "soil"]	["entity覆盖的区域的州土壤是什么？"]
["territory", "bird"]	["哪种鸟类生物居住在entity覆盖的区域？"]
["district", "subdivisionType"]	["entity所在的区域的行政级别是什么？"]
["locale", "settlementType"]	["entityEV的所属地点属于哪个地区？"]
["managerclubs", "referee"]	["谁是entity执教的俱乐部的裁判？"]
["office", "settlementType"]	["entity担任的要职属于哪个地区？"]
["office", "areaCodeType"]	["entity担任的要职有哪些类型的区号？"]
["office", "p"]	["如何用汉语拼音拼写entity担任的要职？","entity担任的要职的中文拼音是什么？"]
["education", "affiliations"]	["entity隶属于什么机构？"]
["manufacturer", "location"]	["entity的生产商在哪里？"]
["showName", "executiveProducer"]	["谁是entity的展示名的执行制片人？"]
["showName", "genre"]	["entity的展示名属于哪种类型？"]
["vicepresident", "title"]	["什么是entity的副总统的名字？"]
["commander", "spouse"]	["谁是entity的将领的配偶？"]
["binomialAuthority", "mayor"]	["谁是entity的二项式命名法学名的的市长？"]
["territory", "title"]	["什么是entity覆盖的区域的名字？"]
["influences", "genre"]	["entity的人属于哪种类型？"]
["doctoralAdvisor", "before"]	["谁是entity的博士生导师的上一任？"]
["venue", "leaderName"]	["谁是entity的举办场地的领导者？"]
["territory", "lieutenantGovernor"]	["谁是entity覆盖的区域现任副州长？"]
["line", "type"]	["哪种类型是entity的地铁线？"]
["binomialAuthority", "leaderName"]	["谁是entity的二项式命名法学名的的领导者？"]
["residence", "tartan"]	["什么是entity的居住地的官方苏格兰格子呢模式？"]
["使用平台", "sourceModel"]	["哪一个是entity的使用平台的源模型？"]
["stadium", "northeast"]	["位于举办entity的体育场东北的地方是什么？"]
["locale", "demonym"]	["我们称之为entityEV的所属地点的人是谁？"]
["locale", "timezone"]	["entityEV的所属地点属于哪个时区？"]
["prevSeason", "writtenby"]	["谁写过entity的？","谁是entity的的作者？"]
["leader", "spouse"]	["谁是entity的领导人的配偶？"]
["territory", "tartan"]	["什么是entity覆盖的区域的官方苏格兰格子呢模式？"]
["territory", "grass"]	["什么样的草原产于entity覆盖的区域？"]
["father", "deathPlace"]	["entity的父亲死在哪里？","entity的父亲的死亡地点是什么？"]
["音樂類型", "derivatives"]	["什么是entity的音乐类型的衍生物？"]
["出生地", "postalCodeType"]	["entity的出生地使用什么类型的邮政编码？"]
["series", "genre"]	["entity属于哪种类型？"]
["author", "almaMater"]	["entity的原著作者从哪里毕业？"]
["leader", "predecessor"]	["谁是entity的领导人的前身？"]
["namedAfter", "knownFor"]	["什么是entity的名字知道的？"]
["distributor", "iptvServ"]	["entity的发行商推广什么样的IPTV服务？"]
["territory", "butterfly"]	["在entity覆盖的区域中发现了什么样的蝴蝶？"]
["territory", "legislature"]	["什么是entity覆盖的区域的立法机关？"]
["territory", "largestmetro"]	["entity覆盖的区域最大的地铁在哪里？"]
["popplace", "grass"]	["什么样的草原产于entity的主要分布区域？"]
["popplace", "fish"]	["什么是entity的主要分布区域中的州鱼？"]
["primaryUser", "officialLanguages"]	["entity的主要用户的官方语言是什么？"]
["inaugural", "title"]	["什么是就职entity的政客的名字？"]
["after", "alongside"]	["谁像entity的一样出名？","谁与entity的同样出名？"]
["areaServed", "ethnicGroups"]	["entity的服务区域属于哪个民族？"]
["workplaces", "president"]	["谁是entity的工作地点的总裁？"]
["placeOfDeath", "legislature"]	["什么是entity的逝世地址的立法机关？"]
["placeOfDeath", "establishedEvent"]	["什么时候entity的逝世地址创建既定事件？"]
["party", "logo"]	["entity所属的党派的标识是什么？"]
["educate", "affiliations"]	["entity隶属于什么机构？"]
["predecessor", "president"]	["谁是entity的前代产品的总裁？"]
["时代", "leader"]	["谁是entity哪个时代的领导者？"]
["subdivisionName", "languages"]	["谁使用entity的区域语言？"]
["city", "leaderParty"]	["什么是entity的所在城市的领导方？"]
["代表作", "language"]	["entity的代表作品的语言是什么？"]
["播放地區", "northwest"]	["哪个地方位于entity的西北部？"]
["mainStations", "operator"]	["哪个公司entity的主要站点属于？"]
["locale", "populationBlank1Title"]	["什么是entityEV的所属地点？"]
["alongside", "predecessor"]	["谁是P与entityA同时在任的政客的前身？"]
["father", "title"]	["什么是entity的父亲的名字？"]
["動畫製作", "type"]	["哪种类型是entity的动画？"]
["ground", "leaderName"]	["谁是entity的地址的领导者？"]
["usedBy", "leaderName"]	["谁是entity的使用者的领导者？"]
["usedBy", "governmentType"]	["entity的使用者政府类型是什么？"]
["usedBy", "legislature"]	["什么是entity的使用者的立法机关？"]
["locationCountry", "label"]	["entity所在的国家的标签是什么？"]
["ground", "upperHouse"]	["什么是entity的地址的上议院？"]
["ground", "callingCode"]	["什么是entity的地址中的调用代码？"]
["commander", "religion"]	["entity的将领的宗教是什么？"]
["主演", "ancestry"]	["entity的演员的家人来自哪里？","entity的演员的故乡是什么？"]
["debutteam", "list3."]	["entity的O第一CLPM支球队为之奋斗的第三支职业球队是什么？"]
["finalteam", "list3."]	["entity效力的最后一CLPM支球队为之奋斗的第三支职业球队是什么？"]
["country", "title"]	["什么是entity的的名字？"]
["champion", "chairman"]	["谁是entity的总冠军的主席？"]
["label", "timezone"]	["entity的标签属于哪个时区？"]
["country", "languages"]	["谁使用entity的的区域语言？"]
["platforms", "family"]	["谁是entity的发布平台的家人？","谁是entity的发布平台的父亲？"]
["location", "north"]	["哪个城市位于entity的位置的北部？"]
["ground", "languages"]	["谁使用entity的地址的区域语言？"]
["動畫製作", "logo"]	["entity的动画的标识是什么？"]
["influences", "birthPlace"]	["entity的人出生在哪里？"]
["managerclubs", "club"]	["哪个俱乐部属于entity执教的俱乐部？"]
["workplaces", "keyPeople"]	["谁是entity的工作地点的首席执行官？"]
["predecessor", "children"]	["entity的前代产品孩子的名字是什么？"]
["country", "deputy"]	["谁是entity的的部长？"]
["代表作", "writer"]	["谁写过entity的代表作品？","谁是entity的代表作品的作者？"]
["areas", "leaderName"]	["谁是entity的领导者？"]
["citizenship", "upperHouse"]	["什么是entity的公民身份的上议院？"]
["starring", "currentMembers"]	["谁是参演entity的演员的现任乐队领队？"]
["唱片公司", "divisions"]	["哪个唱片公司的entity与entity哪家唱片公司拥有？"]
["monarch", "as"]	["entity相当于什么？"]
["founder", "children"]	["entity的创始人孩子的名字是什么？"]
["workInstitution", "provost"]	["谁是entity的工作机构的教务长？"]
["自治體", "subdivisionType"]	["entity的地方政府的行政级别是什么？"]
["managerclubs", "location"]	["entity执教的俱乐部在哪里？"]
["region", "seat"]	["发现entity所在的行政区的地方是什么？"]
["region", "seatType"]	["entity所在的行政区的行政级别是什么？"]
["籍貫", "timezone"]	["entity的籍贯属于哪个时区？"]
["successor", "children"]	["entity的一CLPM代产品孩子的名字是什么？"]
["commander", "children"]	["entity的将领孩子的名字是什么？"]
["developer", "divisions"]	["哪个唱片公司的entity的开发商拥有？"]
["region", "label"]	["entity所在的行政区的标签是什么？"]
["workInstitutions", "president"]	["谁是entity的工作机构的总裁？"]
["製作", "format"]	["entity的制作方的格式是什么？"]
["influenced", "influenced"]	["谁影响了受到entity影响的人？"]
["combatant", "ethnicGroups"]	["entity属于哪个民族？"]
["issue", "father"]	["谁是entity的后裔的父亲？"]
["usedBy", "ethnicGroups"]	["entity的使用者属于哪个民族？"]
["programmingLanguage", "developer"]	["谁开发entity的开发语言？","谁是entity的开发语言的开发者？"]
["religion", "languages"]	["谁使用entity信仰的区域语言？"]
["usedBy", "regionalLanguages"]	["哪种语言是entity的使用者中的区域语言？"]
["managerclubs", "coach"]	["谁是entity执教的俱乐部的现任经理？"]
["leader", "succession"]	["谁是entity的领导人的继承人？"]
["deputy", "before"]	["谁是entity的代理人的上一任？"]
["locale", "northeast"]	["位于entityEV的所属地点东北的地方是什么？"]
["moreUsers", "establishedEvent"]	["什么时候使用entity的国家创建既定事件？"]
["writer", "before"]	["谁是entity的作者的上一任？"]
["出生地", "leaderName"]	["谁是entity的出生地的领导者？"]
["出生地", "postalCode"]	["什么是entity的出生地的邮政编码？"]
["predecessor", "father"]	["谁是entity的前代产品的父亲？"]
["代表作", "starring"]	["谁主演entity的代表作品？"]
["自治體", "settlementType"]	["entity的地方政府属于哪个地区？"]
["deputy", "title"]	["什么是entity的代理人的名字？"]
["precededBy", "title"]	["什么是entity的一CLPM部作品的名字？"]
["workInstitution", "type"]	["哪种类型是entity的工作机构？"]
["subdivisionName", "settlementType"]	["entity属于哪个地区？"]
["branch", "commander"]	["我们应该称之为entity的的指挥官？"]
["winners", "chairman"]	["谁是entity的冠军队伍的主席？"]
["官方語言", "ancestor"]	["entity的官方语言的祖先在哪里？"]
["starring", "family"]	["谁是参演entity的演员的家人？","谁是参演entity的演员的父亲？"]
["youthclubs", "owner"]	["谁是entity所属青年俱乐部的所有者？"]
["issue", "deathPlace"]	["entity的后裔死在哪里？","entity的后裔的死亡地点是什么？"]
["workInstitution", "president"]	["谁是entity的工作机构的总裁？"]
["workInstitution", "nickname"]	["entity的工作机构的昵称是什么？"]
["after", "office"]	["entity的的职务是什么？"]
["primeminister", "honorificSuffix"]	["entity的首相的敬语后缀是什么？"]
["lyrics", "placeOfBirth"]	["entity的出生在哪里？"]
["music", "placeOfBirth"]	["entity的配乐作者出生在哪里？"]
["artist", "origin"]	["发布entity的艺人的起源是什么？"]
["beforeElection", "predecessor"]	["谁是entity一CLPM任领导人的前身？"]
["beforeElection", "spouse"]	["谁是entity一CLPM任领导人的配偶？"]
["军阶", "aircraftTransport"]	["什么是entity的军阶的飞机运输？"]
["军阶", "commander"]	["我们应该称之为entity的军阶的指挥官？"]
["leaderName", "timezoneDst"]	["entity的领导人属于哪个时区？"]
["primaryUser", "commander"]	["我们应该称之为entity的主要用户的指挥官？"]
["主唱", "children"]	["entity的主唱孩子的名字是什么？"]
["country", "leaderTitle"]	["entity的在哪里作为leaderTitle？"]
["operatingSystem", "sourceModel"]	["哪一个是entity的操作系统的源模型？"]
["precededBy", "genre"]	["entity的一CLPM部作品属于哪种类型？"]
["incumbent", "office"]	["entity的现任的职务是什么？"]
["location", "timezoneDst"]	["entity的位置属于哪个时区？"]
["writer", "influenced"]	["谁影响了entity的作者？"]
["writer", "influences"]	["谁影响entity的作者？"]
["播放地區", "establishedEvent"]	["什么时候entity创建既定事件？"]
["lyrics", "genre"]	["entity的属于哪种类型？"]
["precededBy", "producer"]	["谁是entity的一CLPM部作品的制片人？"]
["經紀公司", "owner"]	["谁是entity的经济公司的所有者？"]
["nominee", "office"]	["entity的提名人的职务是什么？"]
["influencedBy", "influencedBy"]	["谁影响P对entity产生影响的编码语言？"]
["location", "largestmetro"]	["entity的位置最大的地铁在哪里？"]
["deathPlace", "ethnicGroups"]	["entity逝世的地方属于哪个民族？"]
["youthclubs", "league"]	["哪个联盟entity所属青年俱乐部属于哪个？"]
["deathPlace", "regionalLanguages"]	["哪种语言是entity逝世的地方中的区域语言？"]
["successor", "primeminister"]	["谁是entity的一CLPM代产品的首相？"]
["spouse", "predecessor"]	["谁是entity的配偶的前身？"]
["ground", "religion"]	["entity的地址的宗教是什么？"]
["winners", "owner"]	["谁是entity的冠军队伍的所有者？"]
["after", "honorificPrefix"]	["entity的的荣誉称号是什么？"]
["office", "youthWing"]	["entity担任的要职的青年翼是什么？"]
["producer", "family"]	["谁是entity的制片人的家人？","谁是entity的制片人的父亲？"]
["workInstitution", "logo"]	["entity的工作机构的标识是什么？"]
["workInstitutions", "industry"]	["entity的工作机构所属的产业类型是什么？"]
["nationality", "lowerHouse"]	["什么是entity的国籍的下议院？"]
["subdivisionName", "bird"]	["哪种鸟类生物居住在entity？"]
["自治體", "tree"]	["什么树大部分种植在entity的地方政府？"]
["college", "chancellor"]	["谁是entity所就读的大学的总理？"]
["location", "isoCode"]	["什么是entity的位置的ISO代码？"]
["manufacturer", "author"]	["谁是entity的生产商的作者？"]
["自治體", "governor"]	["谁是entity的地方政府的现任州长？"]
["自治體", "bird"]	["哪种鸟类生物居住在entity的地方政府？"]
["deathPlace", "southwest"]	["位于entity逝世的地方西南的是什么？"]
["所在", "governmentType"]	["entity所在的城市政府类型是什么？"]
["nationality", "governmentType"]	["entity的国籍政府类型是什么？"]
["currentMembers", "occupation"]	["entity的现任成员从事的职业是什么？","entity的现任成员的工作是什么？"]
["currentMembers", "genre"]	["entity的现任成员属于哪种类型？"]
["predecessor", "mother"]	["谁是entity的前代产品的母亲？"]
["commonLanguages", "child"]	["什么属于entity的通用语言？"]
["allegiance", "legislature"]	["什么是entity的立法机关？"]
["residence", "demonym"]	["我们称之为entity的居住地的人是谁？"]
["nationalteam", "before"]	["谁是entity的上一任？"]
["stylisticOrigins", "instruments"]	["entity的风格源头使用什么工具？"]
["states", "governmentType"]	["使用entity的地区政府类型是什么？"]
["father", "spouse"]	["谁是entity的父亲的配偶？"]
["areas", "demonym"]	["我们称之为entity的人是谁？"]
["areas", "regionalLanguages"]	["哪种语言是entity中的区域语言？"]
["headquarters", "establishedEvent"]	["什么时候entity的总部地址创建既定事件？"]
["successor", "succession"]	["谁是entity的一CLPM代产品的继承人？"]
["starring", "ancestry"]	["参演entity的演员的家人来自哪里？","参演entity的演员的故乡是什么？"]
["起點站", "title"]	["什么是entity的起点站的名字？"]
["incumbent", "primeminister"]	["谁是entity的现任的首相？"]
["countryofbirth", "officialLanguages"]	["entity的祖国的官方语言是什么？"]
["currentMembers", "notableInstruments"]	["哪种乐器entity的现任成员发挥并因此而闻名？"]
["spouse", "honorificPrefix"]	["entity的配偶的荣誉称号是什么？"]
["spouse", "almaMater"]	["entity的配偶从哪里毕业？"]
["producer", "influences"]	["谁影响entity的制片人？"]
["前一站", "operator"]	["哪个公司entity的前一站属于？"]
["後一站", "operator"]	["哪个公司entity的后一站属于？"]
["predecessor", "party"]	["entity的前代产品属于哪一方？"]
["successor", "event"]	["哪个文件","事件影响了entity的一CLPM代产品的灭绝并在欧洲结束了第二次世界大战？"]
["教育程度", "president"]	["谁是entity的毕业学校的总裁？"]
["birthplace", "soil"]	["entityO第一CLPM支登场的球队的州土壤是什么？"]
["developer", "successor"]	["谁是entity的开发商的继承人？"]
["自治體", "leaderTitle"]	["entity的地方政府在哪里作为leaderTitle？"]
["developer", "logo"]	["entity的开发商的标识是什么？"]
["自治體", "fish"]	["什么是entity的地方政府中的州鱼？"]
["籍貫", "governor"]	["谁是entity的籍贯的现任州长？"]
["主演", "birthPlace"]	["entity的演员出生在哪里？"]
["title", "affiliation"]	["谁隶属于entity的标题？"]
["founder", "predecessor"]	["谁是entity的创始人的前身？"]
["代表作", "producer"]	["谁是entity的代表作品的制片人？"]
["birthPlace", "subdivisionType"]	["entity的出生地的行政级别是什么？"]
["placeOfDeath", "titleLeader"]	["entity的逝世地址中领导者的头衔是什么？"]
["birthPlace", "amphibian"]	["什么是IUCN脆弱的物种？青蛙？在entity的出生地？"]
["birthPlace", "dance"]	["entity的出生地的官方舞蹈是什么？"]
["title", "leaderName"]	["谁是entity的标题的领导者？"]
["birthPlace", "government"]	["entity的出生地所属政府形式是什么？"]
["subdivisionName", "officialReligion"]	["哪一项是entity第一修正案的宗教条款中规定的受宪法保护的权利？"]
["seat", "leaderTitle"]	["entity的行政中心在哪里作为leaderTitle？"]
["subdivisionName", "dance"]	["entity的官方舞蹈是什么？"]
["before", "alongside"]	["谁像entity的前任一样出名？","谁与entity的前任同样出名？"]
["predecessor", "religion"]	["entity的前代产品的宗教是什么？"]
["almaMater", "founder"]	["谁是entity的母校的创始人？","谁创立了entity的母校？"]
["cities", "subdivisionName"]	["entity的细分名称是什么？"]
["countryofbirth", "demonym"]	["我们称之为entity的祖国的人是谁？"]
["currentclub", "owner"]	["谁是entity的所有者？"]
["birthPlace", "lowerHouse"]	["什么是entity的出生地的下议院？"]
["influences", "children"]	["entity的人孩子的名字是什么？"]
["deathPlace", "governor"]	["谁是entity逝世的地方的现任州长？"]
["出生地點", "southeast"]	["哪个城市位于entity的出生地点的东南部？"]
["自治體", "leaderName"]	["谁是entity的地方政府的领导者？"]
["plat", "updatemodel"]	["entity的发布平台更新模型的名称是什么？"]
["birthPlace", "timezone"]	["entity的出生地属于哪个时区？"]
["deathPlace", "leaderTitle"]	["entity逝世的地方在哪里作为leaderTitle？"]
["languages", "fam"]	["entity使用的语言属于哪种语言？"]
["affiliation", "chancellor"]	["谁是entity的隶属机构的总理？"]
["deathPlace", "grass"]	["什么样的草原产于entity逝世的地方？"]
["現任成員", "associatedActs"]	["谁与entity的现任成员相关联？"]
["nationality", "sovereigntyType"]	["什么是entity的国籍的主权类型？"]
["workplaces", "logo"]	["entity的工作地点的标识是什么？"]
["incumbent", "title"]	["什么是entity的现任的名字？"]
["starring", "placeOfBirth"]	["参演entity的演员出生在哪里？"]
["party", "caption"]	["entity所属的党派的标识是什么？"]
["country", "lowerHouse"]	["什么是entity的的下议院？"]
["platforms", "label"]	["entity的发布平台的标签是什么？"]
["電視網", "owner"]	["谁是播放entity的电视台的所有者？"]
["region", "subdivisionType"]	["entity所在的行政区的行政级别是什么？"]
["region", "settlementType"]	["entity所在的行政区属于哪个地区？"]
["主唱", "genre"]	["entity的主唱属于哪种类型？"]
["combatant", "birthPlace"]	["entity出生在哪里？"]
["countryAdminDivisions", "leaderName"]	["谁是entity的领导者？"]
["combatant", "legislature"]	["什么是entity的立法机关？"]
["president", "birthPlace"]	["entity效力的总统出生在哪里？"]
["alongside", "title"]	["什么是P与entityA同时在任的政客的名字？"]
["starring", "associatedActs"]	["谁与参演entity的演员相关联？"]
["currentclub", "lcm"]	["谁是entity的新QPR英雄？"]
["popplace", "ethnicGroups"]	["entity的主要分布区域属于哪个民族？"]
["birthPlace", "postalCode"]	["什么是entity的出生地的邮政编码？"]
["birthPlace", "governingBody"]	["entity的出生地的管理机构是什么？"]
["almaMater", "chairman"]	["谁是entity的母校的主席？"]
["deputy", "issue"]	["谁是entity的代理人的父母？"]
["successor", "party"]	["entity的一CLPM代产品属于哪一方？"]
["almaMater", "provost"]	["谁是entity的母校的教务长？"]
["fromAlbum", "writer"]	["谁写过entity的一CLPM部专辑？","谁是entity的一CLPM部专辑的作者？"]
["music", "spouse"]	["谁是entity的配乐作者的配偶？"]
