["genre", "subgenres"]	["entity的子类是什么？"]
["label", "country"]	["制作entity的录音标签在哪个国家？","制作entity的录音标签属于哪个国家？","制作entity的录音标签位于哪个国家？"]
["unitaryWales", "subdivisionName"]	["entity的单一威尔士属于哪个国家？","entity的单一威尔士位于哪个国家？"]
["stadium", "leaderName"]	["entity发生的体育场的领导者是谁？","entity发生的体育场的市长的名字是什么？","谁是entity发生的体育场的市长？"]
["headquarters", "國家憲法"]	["entity的总部的国家宪法叫什么？","哪部法律是entity的总部的国家宪法？"]
["area", "國家首都名稱"]	["entity所在的区域的首都是什么？","哪里是entity所在的区域的首都？"]
["label", "founder"]	["制作entity的录音标签的创办者是谁？","谁创立了制作entity的录音标签？","制作entity的录音标签由谁建立？"]
["primeminister", "almaMater"]	["entity的总理的母校是哪？","哪个学校是entity的总理的母校？"]
["residence", "timezone"]	["entity的住所使用的时区是什么？","entity的住所按哪个时区记时？"]
["location", "國家政權"]	["entity的国家政权是什么结构？"]
["placeOfBirth", "region"]	["entity的出生地所在区域是哪里？",""]
["country", "曆法"]	["entity的历法是什么？","entity地区采用什么历法？"]
["placeOfBirth", "governor"]	["entity的出生地的省长是谁？","谁是entity的出生地的总督？"]
["placeOfBirth", "東"]	["entity的出生地东部的海洋是什么？","什么海位于entity的出生地东部？"]
["shipBuilder", "最大城市名稱"]	["entity的建设者的最大的城市的名称是什么？","哪座城市是entity的建设者中最大的城市？"]
["city", "subdivisionType"]	["entity所在的城市的划分种类是什么？"]
["state", "capital"]	["entity所属的州的省会是哪里？","entity所属的州的省会叫什么？","哪里是entity所属的州的省会？"]
["placeOfBirth", "政治制度三"]	["entity的出生地的政治制度是什么？","entity的出生地采用什么制度治国？","什么政治制度被entity的出生地所采用？"]
["province", "region"]	["entity所在的省份所在区域是哪里？",""]
["subdivisionName", "中央銀行"]	["entity的中央银行是什么？","什么是entity的中央银行？"]
["deathPlace", "法律體系"]	["entity的死亡地点的法律体系是什么？","什么法律体系被entity的死亡地点使用？"]
["location", "曆法"]	["entity的历法是什么？","entity地区采用什么历法？"]
["publisher", "location"]	["entity的出版商位于哪里？entity的出版商的位置是什么？"]
["origin", "政治制度二"]	["entity的国家政权是什么结构？"]
["subdivisionName", "主要節日"]	["entity的主要节日是什么？","什么节日是entity的主要节日？"]
["workInstitution", "chancellor"]	["entity的工作机构的校长是谁？","谁是entity的工作机构的校长？"]
["subdivisionName", "leaderName"]	["entity的领导者是谁？","entity的市长的名字是什么？","谁是entity的市长？"]
["subdivisionName", "type"]	["entity的职业是什么？"]
["branch", "battles"]	["entity的一CLPM个分支参加了什么战争？","哪个战争中有entity的一CLPM个分支参战？"]
["starring", "spouse"]	["一CLPM个主演entity的演员的配偶是谁？"]
["country", "最長河流"]	["entity的最长河流叫什么名字？","哪条河是entity中最长的河流？"]
["state", "leaderName"]	["entity所属的州的领导者是谁？","entity所属的州的市长的名字是什么？","谁是entity所属的州的市长？"]
["deputy", "party"]	["entity的副手属于什么党派？","entity的副手加入了哪个党派？"]
["president", "party"]	["entity的总裁属于什么党派？","entity的总裁加入了哪个党派？"]
["placeOfDeath", "officiallang"]	["entity的死亡地点的官方语言是什么？"]
["predecessor", "successor"]	["entity的前身的后继是什么？"]
["birthPlace", "西"]	["entity的出生地西部的海洋是什么？","什么海位于entity的出生地西部？"]
["country", "国家政权"]	["entity的国家政权是什么？"]
["after", "awards"]	["entity获得奖项有什么？","entity被评选为什么奖？","什么奖项曾颁发给entity？"]
["country", "立國事件"]	["entity的立国事件是什么？","什么事件标志着entity成立？"]
["areaServed", "subdivisionName"]	["entity服务的区域属于哪个国家？","entity服务的区域位于哪个国家？"]
["employer", "president"]	["entity的校长是谁？","谁是entity的校长？"]
["city", "timezone"]	["entity所在的城市使用的时区是什么？","entity所在的城市按哪个时区记时？"]
["deathPlace", "north"]	["entity的死亡地点的北部是哪个城市？","哪个城市位于entity的死亡地点的北部？"]
["birthPlace", "type"]	["entity的出生地的职业是什么？"]
["location", "timezone"]	["entity使用的时区是什么？","entity按哪个时区记时？"]
["country", "政治制度二"]	["entity的国家政权是什么结构？"]
["address", "貨幣單位"]	["entity的地址的货币单位是什么？","entity的地址使用什么货币？","哪种货币在entity的地址流通？"]
["manufacturer", "location"]	["entity的制造商位于哪里？entity的制造商的位置是什么？"]
["president", "awards"]	["entity的总裁获得奖项有什么？","entity的总裁被评选为什么奖？","什么奖项曾颁发给entity的总裁？"]
["playedFor", "logo"]	["entity的logo是什么样子？","entity的标志的图片是什么？"]
["nationality", "國家結構形式"]	["entity的国籍的国家结构形式是什么？","entity的国籍是什么体制的国家？"]
["nationality", "立國事件"]	["entity的国籍的立国事件是什么？","什么事件标志着entity的国籍成立？"]
["subdivisionName", "最大城市名稱"]	["entity的最大的城市的名称是什么？","哪座城市是entity中最大的城市？"]
["placeOfBirth", "subdivisionType"]	["entity的出生地的划分种类是什么？"]
["subdivisionName", "timezone"]	["entity使用的时区是什么？","entity按哪个时区记时？"]
["placeOfBirth", "北"]	["entity的出生地的北部城市是什么？","什么城市位于entity的出生地北部？"]
["deathPlace", "house"]	["entity的死亡地点的下议院是什么？"]
["placeOfBirth", "立國事件"]	["entity的出生地的立国事件是什么？","什么事件标志着entity的出生地成立？"]
["deathPlace", "道路通行方向"]	["entity的死亡地点的道路通行方向是什么？","在entity的死亡地点人们倾向于靠什么方向通行？"]
["deathPlace", "國家代碼"]	["entity的死亡地点的国家代码是什么？"]
["states", "官方文字"]	["entity所在的州的官方文字是什么？","在entity所在的州人们用什么语言交流？","entity所在的州人的交流语言是什么？","entity所在的州人说什么语言？"]
["almaMater", "logo"]	["entity的母校的logo是什么样子？","entity的母校的标志的图片是什么？"]
["placeOfBirth", "governingBody"]	["entity的出生地的执政团体是谁？","entity的出生地的主管部门是什么？","哪个部门主管entity的出生地？"]
["placeOfBirth", "国家政权"]	["entity的出生地的国家政权是什么？"]
["shipBuilder", "governor"]	["entity的建设者的省长是谁？","谁是entity的建设者的总督？"]
["deathPlace", "leaderName"]	["entity的死亡地点的领导者是谁？","entity的死亡地点的市长的名字是什么？","谁是entity的死亡地点的市长？"]
["location", "中央政府所在地"]	["entity的中央政府所在地是哪里？"]
["location", "north"]	["entity的北部是哪个城市？","哪个城市位于entity的北部？"]
["location", "timezoneDst"]	["entity使用的时区是什么？","entity按哪个时区记时？"]
["birthPlace", "timezoneDst"]	["entity的出生地使用的时区是什么？","entity的出生地按哪个时区记时？"]
["headquarters", "西北"]	["entity的总部西南部的海洋是什么？","什么海位于entity的总部西南部？"]
["placeOfBirth", "timezoneDst"]	["entity的出生地使用的时区是什么？","entity的出生地按哪个时区记时？"]
["origin", "subdivisionName"]	["entity属于哪个国家？","entity位于哪个国家？"]
["associatedActs", "instrument"]	["entity的相关行为演奏的乐器是什么？","entity的相关行为表演什么乐器？"]
["writer", "職業"]	["entity的作家的职业是什么？","entity的作家是做什么的？"]
["associatedActs", "notableInstruments"]	["entity的相关行为的成名乐器是什么？","entity的相关行为以什么乐器著名？"]
["party", "predecessor"]	["entity所属的政党的前身是什么？"]
["headquarters", "中央銀行"]	["entity的总部的中央银行是什么？","什么是entity的总部的中央银行？"]
["place", "subdivisionType"]	["entity发生的地方的划分种类是什么？"]
["birthPlace", "法律體系"]	["entity的出生地的法律体系是什么？","什么法律体系被entity的出生地使用？"]
["birthPlace", "currency"]	["entity的出生地中使用的货币是什么？","什么货币在entity的出生地中被使用？","entity的出生地中流通的货币是什么？"]
["placeOfBirth", "premierparty"]	["entity的出生地的总理党是什么？","entity的出生地的首要党派是什么？哪个党派在entity的出生地中处于首要位置？"]
["placeOfDeath", "leaderName"]	["entity的死亡地点的领导者是谁？","entity的死亡地点的市长的名字是什么？","谁是entity的死亡地点的市长？"]
["nationality", "中央銀行"]	["entity的国籍的中央银行是什么？","什么是entity的国籍的中央银行？"]
["primeminister", "primeminister"]	["entity的总理的首相是谁？","谁是entity的总理的首相？"]
["birthPlace", "premierparty"]	["entity的出生地的总理党是什么？","entity的出生地的首要党派是什么？哪个党派在entity的出生地中处于首要位置？"]
["location", "國花"]	["entity的国花是什么？","哪种花是entity的国花？"]
["deathPlace", "國家憲法"]	["entity的死亡地点的国家宪法叫什么？","哪部法律是entity的死亡地点的国家宪法？"]
["operatingSystem", "supportedPlatforms"]	["entity的支撑平台是什么？","哪个平台支撑entity？"]
["influenced", "paradigm"]	["entity影响的人的范例是什么？","举出一个entity影响的人的范例？"]
["locationCountry", "最大行政區名稱"]	["entity所在的国家的最大行政区名称是什么？"]
["birthPlace", "governor"]	["entity的出生地的省长是谁？","谁是entity的出生地的总督？"]
["nationality", "主要節日"]	["entity的国籍的主要节日是什么？","什么节日是entity的国籍的主要节日？"]
["subdivisionName", "largestcity"]	["entity的最大的城市的名称是什么？","哪座城市是entity中最大的城市？"]
["origin", "timezone"]	["entity使用的时区是什么？","entity按哪个时区记时？"]
["placeOfDeath", "governmentType"]	["entity的死亡地点的市政管理组织模式是什么？","市政管理在entity的死亡地点是如何组织的？"]
["label", "genre"]	["制作entity的录音标签的演唱类型是什么?","制作entity的录音标签演唱什么类型的音乐？"]
["residence", "國家結構形式"]	["entity的住所的国家结构形式是什么？","entity的住所是什么体制的国家？"]
["publisher", "founder"]	["entity的出版商的创办者是谁？","谁创立了entity的出版商？","entity的出版商由谁建立？"]
["headquarters", "国家政权"]	["entity的总部的国家政权是什么？"]
["honorificSuffix", "higher"]	["entity的敬语后缀的上一个等级勋章是什么？","什么勋章位于entity的敬语后缀的上一个等级？","比entity的敬语后缀等级高一等的勋章是什么？"]
["state", "governor"]	["entity所属的州的省长是谁？","谁是entity所属的州的总督？"]
["origin", "最長河流"]	["entity的最长河流叫什么名字？","哪条河是entity中最长的河流？"]
["country", "法律體系"]	["entity的法律体系是什么？","什么法律体系被entity使用？"]
["shipCountry", "eventStart"]	["船舶entity所属的国家/地区是什么事件的开始时间?","什么事件开始于船舶entity所属的国家/地区？","哪个事件在船舶entity所属的国家/地区开始？"]
["partof", "commander"]	["entity的一部分的指挥官是谁？","entity的一部分受谁的指挥？","谁指挥entity的一部分？"]
["city", "timezoneDst"]	["entity所在的城市使用的时区是什么？","entity所在的城市按哪个时区记时？"]
["birthPlace", "capital"]	["entity的出生地的省会是哪里？","entity的出生地的省会叫什么？","哪里是entity的出生地的省会？"]
["deathPlace", "西北"]	["entity的死亡地点西南部的海洋是什么？","什么海位于entity的死亡地点西南部？"]
["extra", "currentMembers"]	["entity的的现有成员是谁？","谁现在在entity的中？"]
["birthPlace", "event"]	["entity的出生地期间发生的事件有什么？","什么事件在entity的出生地期间发生？"]
["placeofburial", "官方語言"]	["entity的官方语言是什么？","在entity人们用什么语言交流？","entity人的交流语言是什么？","entity人说什么语言？"]
["shipOperator", "aircraftAttack"]	["entity的船舶经营者的攻击机是什么？"]
["shipBuilder", "leaderName"]	["entity的建设者的领导者是谁？","entity的建设者的市长的名字是什么？","谁是entity的建设者的市长？"]
["producer", "genre"]	["entity的生产者的演唱类型是什么?","entity的生产者演唱什么类型的音乐？"]
["workInstitution", "affiliations"]	["entity的工作机构的附属机构是什么？"]
["deathPlace", "官方語言"]	["entity的死亡地点的官方语言是什么？","在entity的死亡地点人们用什么语言交流？","entity的死亡地点人的交流语言是什么？","entity的死亡地点人说什么语言？"]
["manufacturer", "products"]	["entity的制造商的产品都有什么？"]
["deathPlace", "最長河流"]	["entity的死亡地点的最长河流叫什么名字？","哪条河是entity的死亡地点中最长的河流？"]
["origin", "senators"]	["entity的参议员是谁？"]
["residence", "subdivisionName"]	["entity的住所属于哪个国家？","entity的住所位于哪个国家？"]
["nationalteam", "location"]	["entity的国家队位于哪里？entity的国家队的位置是什么？"]
["city", "postalCodeType"]	["entity所在的城市的邮政编码是什么？"]
["president", "predecessor"]	["entity的总裁的前身是什么？"]
["combatant", "religion"]	["entity的战士的宗教信仰是什么？","entity的战士信仰什么教？"]
["platforms", "kernelType"]	["entity所处的平台的内核类型是什么？"]
["platforms", "onlineService"]	["entity所处的平台的线上服务由什么提供？"]
["primaryUser", "aircraftAttack"]	["entity的主要用户的攻击机是什么？"]
["title", "gm"]	["entity的标题的总经理是谁？","谁是entity的标题的总经理？","entity的标题的总经理叫什么名字？"]
["location", "国家政权"]	["entity的国家政权是什么？"]
["location", "東南"]	["entity东南部的海洋是什么？","什么海位于entity东南部？"]
["origin", "國家結構形式"]	["entity的国家结构形式是什么？","entity是什么体制的国家？"]
["channel", "擁有者"]	["entity所属的电视频道的拥有着是谁？","谁拥有entity所属的电视频道?","entity所属的电视频道被谁所拥有?"]
["father", "house"]	["entity的父亲的下议院是什么？"]
["producer", "associatedActs"]	["与entity的生产者有关系的演员是谁？"]
["formerAffiliations", "擁有者"]	["entity的前隶属关系的拥有着是谁？","谁拥有entity的前隶属关系?","entity的前隶属关系被谁所拥有?"]
["placeOfBirth", "民族"]	["entity的出生地的民族有哪些？","entity的出生地包含哪些民族？"]
["label", "keyPeople"]	["制作entity的录音标签的最重要的职务是什么？","制作entity的录音标签中最高职位是什么？"]
["nationality", "國家首都名稱"]	["entity的国籍的首都是什么？","哪里是entity的国籍的首都？"]
["distributor", "industry"]	["entity的经销商属于什么产业？"]
["origin", "timezoneDst"]	["entity使用的时区是什么？","entity按哪个时区记时？"]
["placeOfBirth", "立國日期"]	["entity的出生地的建国日期是什么？"]
["residence", "leaderName"]	["entity的住所的领导者是谁？","entity的住所的市长的名字是什么？","谁是entity的住所的市长？"]
["extra", "genre"]	["entity的的演唱类型是什么?","entity的演唱什么类型的音乐？"]
["placeOfBirth", "最大行政區名稱"]	["entity的出生地的最大行政区名称是什么？"]
["operator", "battles"]	["entity的运营商参加了什么战争？","哪个战争中有entity的运营商参战？"]
["founded", "west"]	["entity的西部城市是什么？","哪个城市位于entity西部？"]
["founded", "官方語言"]	["entity的官方语言是什么？","在entity人们用什么语言交流？","entity人的交流语言是什么？","entity人说什么语言？"]
["city", "國家政權"]	["entity所在的城市的国家政权是什么结构？"]
["placeOfBirth", "type"]	["entity的出生地的职业是什么？"]
["programmingLanguage", "logo"]	["entity编写的编程语言的logo是什么样子？","entity编写的编程语言的标志的图片是什么？"]
["subsid", "industry"]	["是entity补贴属于什么产业？"]
["subdivisionName", "最長河流"]	["entity的最长河流叫什么名字？","哪条河是entity中最长的河流？"]
["distributor", "products"]	["entity的经销商的产品都有什么？"]
["origin", "官方語言"]	["entity的官方语言是什么？","在entity人们用什么语言交流？","entity人的交流语言是什么？","entity人说什么语言？"]
["origin", "subdivisionType"]	["entity的划分种类是什么？"]
["origin", "governingBody"]	["entity的执政团体是谁？","entity的主管部门是什么？","哪个部门主管entity？"]
["deathPlace", "立國日期"]	["entity的死亡地点的建国日期是什么？"]
["deathPlace", "國花"]	["entity的死亡地点的国花是什么？","哪种花是entity的死亡地点的国花？"]
["birthPlace", "貨幣代碼"]	["entity的出生地的货币代码是什么?",""]
["placeOfBirth", "leaderName"]	["entity的出生地的领导者是谁？","entity的出生地的市长的名字是什么？","谁是entity的出生地的市长？"]
["binomialAuthority", "knownFor"]	["entity的二项式名称的作者因何著名？","entity的二项式名称的作者的成名作是什么？","什么使得entity的二项式名称的作者出名？"]
["location", "民族"]	["entity的民族有哪些？","entity包含哪些民族？"]
["tenants", "stadium"]	["entity的居住地的体育馆是什么？","哪里是entity的居住地的体育馆？"]
["site", "premierparty"]	["entity的总理党是什么？","entity的首要党派是什么？哪个党派在entity中处于首要位置？"]
["tenants", "league"]	["entity的居住地参与的联赛叫什么名字？","entity的居住地在哪个联赛中参加比赛？"]
["state", "postalcodeprefix"]	["entity所属的州的邮政编码前缀是什么？"]
["almaMater", "conference"]	["entity的母校属于哪个联盟？","entity的母校在哪个联盟中？"]
["tenants", "location"]	["entity的居住地位于哪里？entity的居住地的位置是什么？"]
["tenants", "name"]	["entity的居住地的繁体形式是什么？","entity的居住地的繁体怎么写？"]
["after", "predecessor"]	["entity的前身是什么？"]
["platforms", "successor"]	["entity所处的平台的后继是什么？"]
["area", "官方語言"]	["entity所在的区域的官方语言是什么？","在entity所在的区域人们用什么语言交流？","entity所在的区域人的交流语言是什么？","entity所在的区域人说什么语言？"]
["birthPlace", "最高點"]	["entity的出生地的最高点在哪里？","哪里是entity的出生地最高的地方？"]
["influences", "awards"]	["entity的影响获得奖项有什么？","entity的影响被评选为什么奖？","什么奖项曾颁发给entity的影响？"]
["placeOfBirth", "officiallang"]	["entity的出生地的官方语言是什么？"]
["country", "貨幣單位"]	["entity的货币单位是什么？","entity使用什么货币？","哪种货币在entity流通？"]
["placeOfBirth", "postalcodeprefix"]	["entity的出生地的邮政编码前缀是什么？"]
["shipBuilder", "道路通行方向"]	["entity的建设者的道路通行方向是什么？","在entity的建设者人们倾向于靠什么方向通行？"]
["shipBuilder", "最大湖泊"]	["entity的建设者的最大湖泊是什么湖？","哪个湖是entity的建设者中最大的湖泊？"]
["residence", "西北"]	["entity的住所西南部的海洋是什么？","什么海位于entity的住所西南部？"]
["successor", "predecessor"]	["entity的接班人的前身是什么？"]
["location", "北"]	["entity的北部城市是什么？","什么城市位于entity北部？"]
["origin", "官方文字"]	["entity的官方文字是什么？","在entity人们用什么语言交流？","entity人的交流语言是什么？","entity人说什么语言？"]
["region", "國家首都名稱"]	["entity所属的地区的首都是什么？","哪里是entity所属的地区的首都？"]
["placeOfBirth", "最長河流"]	["entity的出生地的最长河流叫什么名字？","哪条河是entity的出生地中最长的河流？"]
["clubs", "shirtsupplier"]	["entity所在的俱乐部的球衣供应商是谁？","谁为entity所在的俱乐部提供球衣？"]
["name", "clubs"]	["entity的名字效力的球队是什么？","entity的名字隶属于哪个球队？"]
["name", "nationalteam"]	["entity的名字隶属于哪个国家队？","entity的名字为哪个国家队效力？"]
["club", "ground"]	["entity所在的俱乐部的主场在哪里？"]
["club", "name"]	["entity所在的俱乐部的繁体形式是什么？","entity所在的俱乐部的繁体怎么写？"]
["billed", "subdivisionName"]	["entity属于哪个国家？","entity位于哪个国家？"]
["finalsChamp", "captain"]	["entity的最终冠军的首都是什么？","哪里是entity的最终冠军的首都？","entity的最终冠军的首都位于哪里？"]
["birthPlace", "south"]	["entity的出生地的南部是哪个城市？","哪个城市位于entity的出生地的南部？"]
["birthPlace", "west"]	["entity的出生地的西部城市是什么？","哪个城市位于entity的出生地西部？"]
["birthPlace", "國家政權"]	["entity的出生地的国家政权是什么结构？"]
["origin", "道路通行方向"]	["entity的道路通行方向是什么？","在entity人们倾向于靠什么方向通行？"]
["location", "type"]	["entity的职业是什么？"]
["education", "logo"]	["entity参加的大学的logo是什么样子？","entity参加的大学的标志的图片是什么？"]
["locationCountry", "國家政權"]	["entity所在的国家的国家政权是什么结构？"]
["residence", "legislature"]	["entity的住所的立法机构是什么？"]
["region", "leaderName"]	["entity所属的地区的领导者是谁？","entity所属的地区的市长的名字是什么？","谁是entity所属的地区的市长？"]
["areaServed", "國家憲法"]	["entity服务的区域的国家宪法叫什么？","哪部法律是entity服务的区域的国家宪法？"]
["location", "postalCodeType"]	["entity的邮政编码是什么？"]
["origin", "主要節日"]	["entity的主要节日是什么？","什么节日是entity的主要节日？"]
["residence", "governmentType"]	["entity的住所的市政管理组织模式是什么？","市政管理在entity的住所是如何组织的？"]
["nationality", "國家政權"]	["entity的国籍的国家政权是什么结构？"]
["state", "senators"]	["entity所属的州的参议员是谁？"]
["birthPlace", "國際域名縮寫"]	["entity的出生地的国际域名缩写是什么？","entity的出生地的可以缩写成什么？","什么可以用作entity的出生地的缩写？"]
["format", "icon"]	["entity的格式的图标是什么？","entity的格式图标长什么样？"]
["subdivisionName", "lieutenantGovernor"]	["entity的副州长是谁？","谁是entity的副州长？"]
["programmingLanguage", "influencedBy"]	["entity编写的编程语言受到什么的影响？","什么对entity编写的编程语言产生了影响？"]
["birthPlace", "largestcity"]	["entity的出生地的最大的城市的名称是什么？","哪座城市是entity的出生地中最大的城市？"]
["shipBuilder", "postalCodeType"]	["entity的建设者的邮政编码是什么？"]
["assembly", "timezone"]	["entity的装配使用的时区是什么？","entity的装配按哪个时区记时？"]
["country", "最大湖泊"]	["entity的最大湖泊是什么湖？","哪个湖是entity中最大的湖泊？"]
["origin", "leaderName"]	["entity的领导者是谁？","entity的市长的名字是什么？","谁是entity的市长？"]
["nominee", "successor"]	["entity的候选人的后继是什么？"]
["country", "西"]	["entity西部的海洋是什么？","什么海位于entity西部？"]
["currentclub", "city"]	["entity的城市有哪个？","举出一个entity中的城市？"]
["director", "before"]	["entity的导演的上一位是什么？"]
["areaServed", "中央銀行"]	["entity服务的区域的中央银行是什么？","什么是entity服务的区域的中央银行？"]
["areasServed", "國家結構形式"]	["entity服务的区域的国家结构形式是什么？","entity服务的区域是什么体制的国家？"]
["operatingSystem", "license"]	["entity的许可证是什么？","什么许可证被entity使用？"]
["nationalteam", "topScorer"]	["entity的国家队的最佳射手是谁？","谁是entity的国家队的最佳射手？"]
["subdivisionName", "曆法"]	["entity的历法是什么？","entity地区采用什么历法？"]
["birthPlace", "commonLanguages"]	["entity的出生地的普遍使用语言是什么？"]
["clubs", "shirtsponsors"]	["entity所在的俱乐部的球衣供应商是谁？","谁为entity所在的俱乐部提供球衣？"]
["subdivisionName", "subdivisionName"]	["entity属于哪个国家？","entity位于哪个国家？"]
["subdivisionName", "subdivisionType"]	["entity的划分种类是什么？"]
["city", "leaderName"]	["entity所在的城市的领导者是谁？","entity所在的城市的市长的名字是什么？","谁是entity所在的城市的市长？"]
["origin", "國家政權"]	["entity的国家政权是什么结构？"]
["birthPlace", "eventStart"]	["entity的出生地是什么事件的开始时间?","什么事件开始于entity的出生地？","哪个事件在entity的出生地开始？"]
["placeOfBirth", "commonLanguages"]	["entity的出生地的普遍使用语言是什么？"]
["placeOfDeath", "西"]	["entity的死亡地点西部的海洋是什么？","什么海位于entity的死亡地点西部？"]
["birthPlace", "location"]	["entity的出生地位于哪里？entity的出生地的位置是什么？"]
["label", "location"]	["制作entity的录音标签位于哪里？制作entity的录音标签的位置是什么？"]
["platforms", "license"]	["entity所处的平台的许可证是什么？","什么许可证被entity所处的平台使用？"]
["areaServed", "曆法"]	["entity服务的区域的历法是什么？","entity服务的区域地区采用什么历法？"]
["placeOfBirth", "populationRank"]	["entity的出生地的人口排名是多少？","entity的出生地的人口排在多少名？"]
["deathPlace", "中央銀行"]	["entity的死亡地点的中央银行是什么？","什么是entity的死亡地点的中央银行？"]
["placeOfDeath", "政治制度三"]	["entity的死亡地点的政治制度是什么？","entity的死亡地点采用什么制度治国？","什么政治制度被entity的死亡地点所采用？"]
["stadium", "subdivisionName"]	["entity发生的体育场属于哪个国家？","entity发生的体育场位于哪个国家？"]
["stadium", "subdivisionType"]	["entity发生的体育场的划分种类是什么？"]
["placeOfDeath", "立國事件"]	["entity的死亡地点的立国事件是什么？","什么事件标志着entity的死亡地点成立？"]
["almaMater", "state"]	["entity的母校在哪个州？","entity的母校位于哪个州？"]
["primeminister", "before"]	["entity的总理的上一位是什么？"]
["deathPlace", "largestcity"]	["entity的死亡地点的最大的城市的名称是什么？","哪座城市是entity的死亡地点中最大的城市？"]
["team", "city"]	["entity所在的团队的城市有哪个？","举出一个entity所在的团队中的城市？"]
["team", "ceo"]	["entity所在的团队的Centity所在的团队O是谁？","entity所在的团队的首席执行官是谁？","谁是entity所在的团队的Centity所在的团队O?"]
["shipBuilder", "namedFor"]	["entity的建设者以什么语言命名?","什么语言命名了entity的建设者？"]
["workInstitution", "city"]	["entity的工作机构的城市有哪个？","举出一个entity的工作机构中的城市？"]
["playingTeam", "stadium"]	["entity所扮演的团队的体育馆是什么？","哪里是entity所扮演的团队的体育馆？"]
["studio", "keyPeople"]	["制作entity的工作室的最重要的职务是什么？","制作entity的工作室中最高职位是什么？"]
["locale", "subdivisionName"]	["entity属于哪个国家？","entity位于哪个国家？"]
["state", "officiallang"]	["entity所属的州的官方语言是什么？"]
["region", "東"]	["entity所属的地区东部的海洋是什么？","什么海位于entity所属的地区东部？"]
["commonLanguages", "fam"]	["entity起源于什么语言？","entity由什么语言演变而来？"]
["associatedActs", "placeOfBirth"]	["entity的相关行为的出生地是哪里？","entity的相关行为在那里出生？"]
["publisher", "keyPeople"]	["entity的出版商的最重要的职务是什么？","entity的出版商中最高职位是什么？"]
["placeOfBirth", "國家外文語言"]	["entity的出生地的国家语言是什么？","entity的出生地使用什么语言？","在entity的出生地中人们用什么语言交流?"]
["deathPlace", "capital"]	["entity的死亡地点的省会是哪里？","entity的死亡地点的省会叫什么？","哪里是entity的死亡地点的省会？"]
["location", "viceroy"]	["entity的总督是谁？","谁是entity的总督？","entity的最高行政长官是谁？","谁是entity的最高行政长官？"]
["youthclubs", "nickname"]	["entity的绰号叫什么？","entity又被称为什么？","entity的另外的名字是什么？"]
["state", "largestmetro"]	["entity所属的州的地铁在哪个区域？"]
["youthclubs", "shirtsponsors"]	["entity的球衣供应商是谁？","谁为entity提供球衣？"]
["party", "leader1Name"]	["entity所属的政党的领导者叫什么？","entity所属的政党领导人的名字是什么？","谁领导entity所属的政党？"]
["placeOfBirth", "governmentType"]	["entity的出生地的市政管理组织模式是什么？","市政管理在entity的出生地是如何组织的？"]
["after", "birthPlace"]	["entity的出生地是哪里？","entity在哪里出生？"]
["birthPlace", "postalCodeType"]	["entity的出生地的邮政编码是什么？"]
["location", "capital"]	["entity的省会是哪里？","entity的省会叫什么？","哪里是entity的省会？"]
["managerclubs", "stadium"]	["entity管理的俱乐部的体育馆是什么？","哪里是entity管理的俱乐部的体育馆？"]
["classis", "subdivisionRanks"]	["entity的分类的分类等级是什么？","entity的分类在分类中处于什么等级？"]
["nationalOrigin", "西"]	["entity西部的海洋是什么？","什么海位于entity西部？"]
["placeOfDeath", "postalCodeType"]	["entity的死亡地点的邮政编码是什么？"]
["format", "fusiongenres"]	["entity的格式的融合形式是什么？","融合过的entity的格式形式是什么？"]
["managerclubs", "league"]	["entity管理的俱乐部参与的联赛叫什么名字？","entity管理的俱乐部在哪个联赛中参加比赛？"]
["spouse", "after"]	["entity的配偶的下一位是什么？"]
["birthPlace", "governmentType"]	["entity的出生地的市政管理组织模式是什么？","市政管理在entity的出生地是如何组织的？"]
["primaryUser", "battles"]	["entity的主要用户参加了什么战争？","哪个战争中有entity的主要用户参战？"]
["broadcastArea", "政治制度二"]	["entityITY的国家政权是什么结构？"]
["deathPlace", "國家結構形式"]	["entity的死亡地点的国家结构形式是什么？","entity的死亡地点是什么体制的国家？"]
["continentalcup", "stadium"]	["是大陆杯entity的体育馆是什么？","哪里是是大陆杯entity的体育馆？"]
["location", "最高點"]	["entity的最高点在哪里？","哪里是entity最高的地方？"]
["successor", "after"]	["entity的接班人的下一位是什么？"]
["hostCity", "國家憲法"]	["entity的主办城市的国家宪法叫什么？","哪部法律是entity的主办城市的国家宪法？"]
["hostCity", "立國事件"]	["entity的主办城市的立国事件是什么？","什么事件标志着entity的主办城市成立？"]
["label", "industry"]	["制作entity的录音标签属于什么产业？"]
["monarch", "子女"]	["entity的君主的子女是谁？","谁是entity的君主的子女？"]
["president", "after"]	["entity的总裁的下一位是什么？"]
["mostSuccessfulClub", "name"]	["A最成功的entity俱乐部的繁体形式是什么？","A最成功的entity俱乐部的繁体怎么写？"]
["birthPlace", "lowestpoint"]	["entity的出生地的最低点在哪里？","哪里是entity的出生地的最低点？","entity的出生地海拔最低的地方是哪里？"]
["music", "genre"]	["制造entity的人的演唱类型是什么?","制造entity的人演唱什么类型的音乐？"]
["headquarters", "民族"]	["entity的总部的民族有哪些？","entity的总部包含哪些民族？"]
["regionServed", "timezone"]	["entity服务的地区使用的时区是什么？","entity服务的地区按哪个时区记时？"]
["regionServed", "國家結構形式"]	["entity服务的地区的国家结构形式是什么？","entity服务的地区是什么体制的国家？"]
